"Name","TankType","Capacity","CapacityUnits","Diameter","DiameterUnits","MaxOperatingDepth","MaxOperatingDepthUnits","Ventilation","InServiceDate","InterimStabilization","IntrusionPrevention","OperationCapacityKGal","TankStatus","TankIntegrity","DIL_Gal"
"241-SY-103","DST","1160","kgal","75","ft","422","in","Operating Exhauster","4/1977","","","1160","","Sound","0"
"241-T-101","SST-2","530","kgal","75","ft","185","in","Passive","12/1944","April 1993","","530","WI","Assumed leaker","11000"
"241-T-102","SST-2","530","kgal","75","ft","185","in","Passive","9/1945","March 1981","August 1981","530","","Sound","0"
"241-T-103","SST-2","530","kgal","75","ft","185","in","Passive","11/1945","November 1983","August 1981","530","","Assumed leaker","0"
"241-T-104","SST-2","530","kgal","75","ft","185","in","Passive","3/1946","November 1999","","530","","Sound","39000"
"241-T-105","SST-2","530","kgal","75","ft","185","in","Passive","7/1946","June 1987","September 1988","530","","Sound","7900"
"241-T-106","SST-2","530","kgal","75","ft","185","in","Passive","6/1947","August 1981","August 1981","530","","Assumed leaker","0"
"241-T-107","SST-2","530","kgal","75","ft","185","in","Passive","12/1944","May 1996","","530","WI","Assumed leaker","25000"
"241-T-108","SST-2","530","kgal","75","ft","185","in","Passive","9/1945","November 1978","June 1981","530","","Assumed leaker","2000"
"241-T-109","SST-2","530","kgal","75","ft","185","in","Passive","12/1945","December 1984","September 1988","530","","Sound","8900"
"241-T-110","SST-2","530","kgal","75","ft","185","in","Passive","12/1944","January 2000","","530","","Sound","56000"
"241-T-111","SST-2","530","kgal","75","ft","185","in","Passive","10/1945","February 1995","","530","WI","Assumed leaker","37000"
"241-T-112","SST-2","530","kgal","75","ft","185","in","Passive","1/1946","March 1981","June 1981","530","","Sound","2000"
"241-T-201","SST-1","55","kgal","20","ft","280","in","Passive","1952","April 1981","August 1981","55","WI","Sound","4400"
"241-T-202","SST-1","55","kgal","20","ft","280","in","Passive","1952","August 1981","August 1981","55","","Sound","2600"
"241-T-203","SST-1","55","kgal","20","ft","280","in","Passive","1952","April 1981","August 1981","55","","Sound","5400"
"241-T-204","SST-1","55","kgal","20","ft","280","in","Passive","1952","August 1981","August 1981","55","","Sound","5600"
"241-TX-101","SST-3","758","kgal","75","ft","275","in","Passive","7/1949","February 1984","August 1984","758","WI","Sound","8600"
"241-TX-102","SST-3","758","kgal","75","ft","275","in","Passive","1/1950","April 1983","August 1984","758","","Sound","49000"
"241-TX-103","SST-3","758","kgal","75","ft","275","in","Passive","7/1950","August 1983","August 1984","758","WI","Sound","25000"
"241-TX-104","SST-3","758","kgal","75","ft","275","in","Passive","11/1950","September 1979","August 1984","758","","Sound","8200"
"241-TX-105","SST-3","758","kgal","75","ft","275","in","Passive","3/1951","April 1983","August 1984","758","","Assumed leaker","46000"
"241-TX-106","SST-3","758","kgal","75","ft","275","in","Passive","6/1951","June 1983","August 1984","758","","Sound","57000"
"241-TX-107","SST-3","758","kgal","75","ft","275","in","Passive","1950","October 1979","August 1984","758","","Assumed leaker","5800"
"241-TX-108","SST-3","758","kgal","75","ft","275","in","Passive","1950","March 1983","August 1984","758","","Sound","26000"
"241-TX-109","SST-3","758","kgal","75","ft","275","in","Passive","1950","April 1983","August 1984","758","","Sound","48000"
"241-TX-110","SST-3","758","kgal","75","ft","275","in","Passive","9/1949","April 1983","August 1984","758","","Assumed leaker","32000"
"241-TX-111","SST-3","758","kgal","75","ft","275","in","Passive","3/1950","April 1983","August 1984","758","","Sound","25000"
"241-TX-112","SST-3","758","kgal","75","ft","275","in","Passive","8/1950","April 1983","August 1984","758","","Sound","61000"
"241-TX-113","SST-3","758","kgal","75","ft","275","in","Passive","12/1950","April 1983","August 1984","758","","Sound","25000"
"241-TX-114","SST-3","758","kgal","75","ft","275","in","Passive","4/1951","April 1983","August 1984","758","","Assumed leaker","42000"
"241-TX-115","SST-3","758","kgal","75","ft","275","in","Passive","1951","September 1983","August 1984","758","","Sound","84000"
"241-TX-116","SST-3","758","kgal","75","ft","275","in","Passive","1951","April 1983","August 1984","758","","Sound","27000"
"241-TX-117","SST-3","758","kgal","75","ft","275","in","Passive","4/1951","March 1983","August 1984","758","","Assumed leaker","16000"
"241-TX-118","SST-3","758","kgal","75","ft","275","in","Passive","4/1951","April 1983","August 1984","758","","Sound","70000"
"241-TY-101","SST-3","758","kgal","75","ft","275","in","Passive","1953","April 1983","October 1984","758","","Assumed leaker","3300"
"241-TY-102","SST-3","758","kgal","75","ft","275","in","Passive","1953","September 1979","December 1982","758","WI","Sound","14000"
